"","FDR corrected Pvalue","SW Comparison Group Pvalue","ST Comparison Group Pvalue","TW Comparison Group Pvalue","SW Comparison Group Tratio","ST Comparison Group Tratio","TW Comparison Group Tratio","Mean sedentary group","Mean voluntary group","Mean voluntary + enforced group","SD sedentary group","SD voluntary group","SD voluntary + enforced group","SW Comparison Group Effect Size","ST Comparison Group Effect Size","TW Comparison Group Effect Size","ST Comparison Group Lower CI","ST Comparison Group Higher CI","SW Comparison Group Lower CI","SW Comparison Group Higher CI","TW Comparison Group Lower CI","TW Comparison Group Higher CI"
"cp_L","1.3000556924451e-08","5.51737704412858e-08","2.08661379064168e-07","0.803396410965059","8.56139249411494","7.90946924333336","-0.633555519073095","0.276802551424867","0.227493383468307","0.231248122325295","0.0141980458695088","0.0078836320322011","0.0191824271665482","-3.24901844342757","-4.00503054632247","-0.345422304397185","0.268608739877078","0.284996362972655","0.218802533904499","0.236184233032116","0.222557272761486","0.239938971889104"
"Iped_L","1.15130625682246e-07","5.31681569548859e-07","1.2491887635413e-06","0.922618007594093","7.46673951216199","7.07266314794636","-0.382973387106142","0.0315714938593222","0.0213957969195912","0.0219328454729575","0.00387232295809572","0.0016981036560964","0.0106809311006484","-2.86534363912312","-3.15931017024744","-0.260693300885993","0.0296326811054316","0.0335103066132128","0.0193393754510007","0.0234522183881817","0.019876424004367","0.023989266941548"
"Hyp_R","1.00235781173654e-06","2.91742983693499e-06","1.39833146809432e-05","0.784635299972935","6.69016827068566","6.00355876255633","-0.667264502074255","1.1647205228803","1.03855024379007","1.05149905311169","0.0486123619618047","0.0415959296625326","0.0234073440992948","-2.86975852537315","-2.63313774688686","-0.383875895249362","1.13789039596655","1.19155064979405","1.01009259676886","1.06700789081128","1.02304140609048","1.07995670013291"
"GP_R","1.38483267665253e-06","9.15998556338948e-07","0.000916693230859855","0.0227322073798436","7.21471027525259","4.25123809464945","-2.87997728780154","0.195333076051859","0.171331971567583","0.181190524819107","0.00789955574732174","0.00680866116345942","0.0128317499235647","-1.95540098768106","-3.07364981222447","-1.51184322758354","0.190600310006924","0.200065842096794","0.166312115121368","0.176351828013797","0.176170668372893","0.186210381265322"
"mcp_L","4.45270202914039e-06","3.46830344650773e-05","1.64825265372981e-05","0.949051793207701","5.61552279383313","5.93283538818136","0.308372412212179","0.216897562582553","0.181084425159085","0.17906075613221","0.0146978902398837","0.0115198208161848","0.0193310002410197","-2.60007303314341","-2.55357253849355","0.157642406288363","0.207824479675903","0.225970645489204","0.171460967484744","0.190707882833426","0.169437298457869","0.188684213806551"
"DLO_L","1.44161761809163e-05","2.95747075629293e-05","0.000195630554325144","0.724900078782782","5.68313624719957","4.89078873718739","-0.770023369146913","0.0951425513700944","0.06505474632615","0.0692496127469663","0.0175993156812979","0.00379315291537439","0.0106809311006484","-1.8992450826917","-2.17777770849165","-1.28296901480457","0.0876106410046347","0.102674461735554","0.0570659489840912","0.0730435436682088","0.0612608154049075","0.077238410089025"
"DTg_L","1.89983792653276e-05","0.000255424228204348","3.76298284691101e-05","0.719979427723184","4.7801591099056","5.58098560232492","0.778263458902457","0.225849540623412","0.203829893807621","0.200140912725954","0.0124018088250999","0.00695108892866166","0.0155658577432095","-2.33406465785998","-2.0434354589693","0.477479445473048","0.219296079901969","0.232403001344855","0.196878899033063","0.21078088858218","0.193189917951396","0.207091907500512"
"FrA_L","3.42827725509276e-05","9.15891731407825e-05","0.000262370490559549","0.905435999461187","5.20689970229318","4.76903849015561","-0.425524610765472","0.827995564720631","0.683896219374136","0.696013893542866","0.0791100111455316","0.0406809613146522","0.04111370050324","-1.98407225491675","-2.13306784834883","-0.293698633522465","0.788623743885233","0.867367385556029","0.642136097123579","0.725656341624694","0.654253771292309","0.737774015793424"
"S1HL_R","5.53861560195261e-05","5.0585201461617e-05","0.00290741102586534","0.251326652757077","-5.45604486155258","-3.77056629420897","1.63799074099556","0.228126629623872","0.256772477597478","0.24792321700156","0.0133929358177913","0.00876957505873033","0.0168138293648347","1.61489388229038","2.37017275978977","0.92966033818972","0.220657216941851","0.235596042305893","0.248849969059071","0.264694986135884","0.240000708463153","0.255845725539967"
"Sthal_L","6.09437146500455e-05","0.000264948212418292","0.000238560758882844","0.99901579570683","4.76498681472988","4.80847452662841","0.0422624593495382","0.0568581246105867","0.0503371263197337","0.050277612347085","0.00340547996964062","0.00211833149185607","0.0116853789811289","-2.02191474041514","-2.15073400168032","0.0232842241946807","0.0549111733140173","0.0588050759071561","0.0482720726230675","0.0524021800164","0.0482125586504188","0.0523426660437513"
"MEnt_R","7.14908425778755e-05","0.000118113063013903","0.000926161447630802","0.688972723764516","-5.10070726479112","-4.24698122634132","0.82967257692961","0.04764814418223","0.0581690035849413","0.0564080847255188","0.00382156659692069","0.00418246947224242","0.0118959763915077","1.94523282444189","2.49981338968229","0.372491066420971","0.0447137157511692","0.0505825726132908","0.0550565722211767","0.0612814349487058","0.0532956533617542","0.0595205160892833"
"PAG_L","7.47390403659884e-05","0.000776329135832032","0.000140570641821824","0.77276502128203","4.32005998573938","5.0281863024982","0.688175081415772","0.769470115268143","0.702149953588145","0.691115111874968","0.0302589676149255","0.02444217971407","0.0434283771816713","-2.12054816927906","-2.30665966513721","0.315518744630514","0.747300504020899","0.791639726515387","0.678635529914351","0.725664377261939","0.667600688201174","0.714629535548762"
"S1HL_L","8.89339885962353e-05","8.84418164178724e-05","0.00315050543253648","0.337104497439877","-5.22152371926624","-3.7368387503094","1.4428544388312","0.227347373219696","0.279565240535026","0.264717642997932","0.0147074207176858","0.0307498107550594","0.0191066287166283","2.64351271012204","2.10043305298029","0.602860918743826","0.213120004735595","0.241574741703796","0.264474837434706","0.294655643635347","0.249627239897612","0.279808046098253"
"Pn_L","0.000116198616218138","0.000382624474250304","0.000526070409696877","0.991009947265495","4.61280139397027","4.48107747889129","-0.128012635371043","0.133476385547553","0.100617016258654","0.101555353811061","0.0183760505385699","0.0142858702094927","0.0168138293648347","-2.04250074448469","-1.87930640275475","-0.0737201267137335","0.123342005854484","0.143610765240623","0.0898678833525205","0.111366149164787","0.0908062209049281","0.112304486717194"
"V1M_R","0.000187336654075977","0.000145294136268515","0.0116445787982933","0.197778868924256","-5.01443017081534","-3.17763026959252","1.78504864408114","0.357888686365262","0.438355724044999","0.408880421403024","0.0343991061689402","0.0295997157843874","0.0386445095595124","1.40237650812219","2.36798810168686","0.864952234924611","0.335059042844454","0.380718329886071","0.414141230426546","0.462570217663452","0.384665927784571","0.433094915021477"
"Raph_L","0.000259771305253173","0.000619553859771527","0.00140725543574338","0.941758652529282","4.4134109953175","4.07343248801324","-0.330399720228745","0.0450669305995578","0.037441284750155","0.0380287115037162","0.00415115767909161","0.00254216063627704","0.0118242952605398","-1.69497497249938","-2.07135133342595","-0.175401030570637","0.042608799939452","0.0475250612596636","0.0348340434619499","0.04004852603836","0.0354214702155112","0.0406359527919213"
"VIEnt_R","0.000313618037118357","0.000725296086661276","0.00168140888700374","0.93880183252629","-4.3482049214715","-3.99940467507719","0.338972909605897","0.0969254316059211","0.116307274233561","0.114752519660999","0.00825592714347608","0.0100982872538432","0.0168138293648347","1.94278920619168","2.00760585615256","0.152165329903918","0.0905839934086195","0.103266869803223","0.10958116330588","0.123033385161242","0.108026408733318","0.12147863058868"
"V2ML_L","0.000327820748845952","0.000251938045909617","0.0174044970477938","0.214783195791427","-4.7858554334109","-3.00008829296899","1.73545371521871","0.0878964081088256","0.109112845704656","0.101196263680183","0.0102562588483942","0.011479547540334","0.0117160429872357","1.62160924279678","1.85669303022507","0.890068246408384","0.081589513219635","0.094203302998016","0.10242337348809","0.115802317921222","0.0945067914636164","0.107885735896749"
"DIEnt_R","0.000362273513517336","0.00348605742921937","0.000544225392602904","0.736188283481224","-3.69425320975517","-4.46704191194197","-0.751015624555198","0.103948234955232","0.121314292842709","0.124947041486339","0.0106920025874147","0.00952416702005172","0.0161534385976592","2.04527054408817","1.62150395940442","-0.379809707869196","0.0972605271560315","0.110635942754433","0.114220907539595","0.128407678145822","0.117853656183225","0.132040426789452"
"DLEnt_L","0.00050967439660425","0.00124867466616629","0.00224286616076175","0.969558895210472","-4.12308642941079","-3.87923930338659","0.236976810257232","0.199739431641643","0.239043432847413","0.2367189199129","0.0249316246734604","0.0167791665709871","0.0209081534567003","1.68632960632229","1.73365943649753","0.139082548985332","0.186177641170395","0.213301222112892","0.224658981836536","0.253427883858289","0.222334468902023","0.251103370923776"
"SN_L","0.00055187808529996","0.00605380869005412","0.000715865640279811","0.665467826597968","3.46023925045683","4.35362138128782","0.868211371431647","0.115116419403143","0.103231123134145","0.100162517024046","0.0102557870020375","0.00484685607793346","0.0118242952605398","-1.79762381898996","-1.37736594075493","0.675911375826387","0.11022982167887","0.120003017127417","0.0980481035524981","0.108414142715792","0.0949794974423993","0.105345536605693"
"PRh_L","0.000643626259208147","0.000702021060178804","0.00955518149844015","0.5439260750802","-4.36170345102498","-3.26380071405927","1.06696967407767","0.126711679674179","0.150066024524154","0.14418740406801","0.0124758819655831","0.00961814667892078","0.0180462137059726","1.42780484843305","1.97304623679323","0.550578577707664","0.119094148181877","0.134329211166481","0.141986412262991","0.158145636785317","0.136107791806847","0.152267016329173"
"Pr5_L","0.00067277862324529","0.00834152186994352","0.000793148495316087","0.608664967777351","3.32259773944053","4.31118681813426","0.960735893605426","0.0747623159127644","0.06575029529692","0.0630689038506937","0.00788926555032071","0.00306256177975025","0.0118242952605398","-1.72632221936792","-1.39527579021843","0.692504097430972","0.0709035617071952","0.0786210701183336","0.0616574683983848","0.0698431221954551","0.0589760769521586","0.0671617307492289"
"GP_L","0.000686719085594674","0.00125450576222841","0.00405588586922012","0.882813010608064","4.12115247051836","3.63037788928098","-0.476947162401332","0.215505838326049","0.197159043454431","0.19934390330482","0.00927072319803151","0.00857189997498736","0.0171024262982001","-1.62743305932473","-1.94508707362421","-0.226981912557771","0.209172331726767","0.221839344925331","0.190441345256869","0.203876741651994","0.192626205107258","0.206061601502383"
"Hyp_L","0.000883198627216327","0.00345598068778674","0.00211037020306493","0.97800785716463","3.69790271147084","3.90467380290375","0.200945381231662","1.14320002687236","1.03074744474724","1.02445957160543","0.0902027771254206","0.0438545520116407","0.0372380232246384","-1.61859267932234","-1.47468125900714","0.153202315577595","1.09993702448085","1.18646302926387","0.984860101198944","1.07663478829553","0.978572228057141","1.07034691515373"
"Sthal_R","0.00101972599571762","0.00153863897020523","0.00711024804486493","0.807097128366023","4.03632699083187","3.3913569369965","-0.626798226254973","0.05822943322594","0.0506262464817887","0.0518411697956912","0.00492383877843176","0.00178089356823707","0.0118242952605398","-1.33699532856796","-1.90076641910424","-0.367579261558817","0.0555495737594943","0.0609092926923857","0.0477838262797627","0.0534686666838148","0.0489987495936652","0.0546835899977173"
"V1B_L","0.00111095869665126","0.00393298558037236","0.00274559899591176","0.988172024564103","-3.64337757044849","-3.79458754841892","-0.146949684594369","0.182847385100886","0.204211056360505","0.205097706233616","0.0143275511261433","0.0125318384076675","0.0156895916537102","1.78275670564328","1.49965871251278","-0.0793625419197203","0.174505303943054","0.191189466258717","0.195362943126638","0.213059169594372","0.196249592999749","0.213945819467483"
