Abbreviation,Structure,Mean Volume (Sedentary),Mean Volume (Voluntary + enforced),SD (Sedentary),SD (Voluntary + enforced),P-value,Effect Size,Lower Confidence Interval,Higher Confidence Interval
cp_L,Cerebral Peduncle (L),0.276802551424867,0.231248122325295,0.0141980458695088,0.0191824271665482,2.08661379064168e-07,-4.00503054632247,0.268608739877078,0.284996362972655
Iped_L,Interpeduncular Nucleus (L),0.0315714938593222,0.0219328454729575,0.0038723229580957,0.0106809311006484,1.2491887635413e-06,-3.15931017024744,0.0296326811054316,0.0335103066132128
GP_R,Globus Pallidus (R),0.195333076051859,0.181190524819107,0.0078995557473217,0.0128317499235647,0.0009166932308598,-3.07364981222447,0.190600310006924,0.200065842096794
Hyp_R,Hypothalamus (R),1.1647205228803,1.05149905311169,0.0486123619618047,0.0234073440992948,1.39833146809432e-05,-2.63313774688686,1.13789039596655,1.19155064979405
mcp_L,Middle Cerebellar Peduncle (L),0.216897562582553,0.17906075613221,0.0146978902398837,0.0193310002410197,1.64825265372981e-05,-2.55357253849355,0.207824479675903,0.225970645489204
PAG_L,Periaquaductal Grey (L),0.769470115268143,0.691115111874968,0.0302589676149255,0.0434283771816713,0.0001405706418218,-2.30665966513721,0.747300504020899,0.791639726515387
DLO_L,Dorsolateral Orbital Cortex (L),0.0951425513700944,0.0692496127469663,0.0175993156812979,0.0106809311006484,0.0001956305543251,-2.17777770849165,0.0876106410046347,0.102674461735554
Sthal_L,Subthalamic Nucleus (L),0.0568581246105867,0.050277612347085,0.0034054799696406,0.0116853789811289,0.0002385607588828,-2.15073400168032,0.0549111733140173,0.0588050759071561
FrA_L,Frontal Association Cortex (L),0.827995564720631,0.696013893542866,0.0791100111455316,0.04111370050324,0.0002623704905595,-2.13306784834883,0.788623743885233,0.867367385556029
Raph_L,Raphe Nucleus (L),0.0450669305995578,0.0380287115037162,0.0041511576790916,0.0118242952605398,0.0014072554357433,-2.07135133342595,0.042608799939452,0.0475250612596636
DTg_L,Dorsal Tegmentum (L),0.225849540623412,0.200140912725954,0.0124018088250999,0.0155658577432095,3.76298284691101e-05,-2.0434354589693,0.219296079901969,0.232403001344855
GP_L,Globus Pallidus (L),0.215505838326049,0.19934390330482,0.0092707231980315,0.0171024262982001,0.0040558858692201,-1.94508707362421,0.209172331726767,0.221839344925331
Sthal_R,Subthalamic Nucleus (R),0.05822943322594,0.0518411697956912,0.0049238387784317,0.0118242952605398,0.0071102480448649,-1.90076641910424,0.0555495737594943,0.0609092926923857
Pn_L,Pontine Nucleus (L),0.133476385547553,0.101555353811061,0.0183760505385699,0.0168138293648347,0.0005260704096968,-1.87930640275475,0.123342005854484,0.143610765240623
BNst_L,Bed Nucleus of the Stria Terminalis (L),0.06227431601368,0.0563921367097062,0.0036051083664563,0.0118242952605398,0.0046038497791547,-1.57119005285896,0.0599346511568831,0.064613980870477
Hyp_L,Hypothalamus (L),1.14320002687236,1.02445957160543,0.0902027771254206,0.0372380232246384,0.0021103702030649,-1.47468125900714,1.09993702448085,1.18646302926387
Pr5_L,Trigeminal Sensory Nucleus (L),0.0747623159127644,0.0630689038506937,0.0078892655503207,0.0118242952605398,0.000793148495316,-1.39527579021843,0.0709035617071952,0.0786210701183336
SN_L,Substantia Nigra (L),0.115116419403143,0.100162517024046,0.0102557870020375,0.0118242952605398,0.0007158656402798,-1.37736594075493,0.11022982167887,0.120003017127417
Su5_L,Pedunculotegmental Medial Paralemniscial and Supratrigemnial Nuclei (L),0.0302127336966111,0.0270368506745613,0.0033791926898866,0.0106809311006484,0.0370442845558715,-1.27694927747227,0.0285108195862233,0.0319146478069989
MGN_L,Medial Geniculate Nucleus (L),0.0572161039122944,0.0525382998526863,0.0033425645102871,0.0118242952605398,0.0251053865228535,-1.22809892024099,0.0548685226224013,0.0595636852021876
PAG_R,Periaquaductal Grey (R),0.843624930843372,0.774697584787671,0.0411460900999793,0.0372380232246384,0.005542454045524,-1.15831501176426,0.815590715132122,0.871659146554623
MRN_L,Midbrain Reticular Nucleus (L),0.406634577624083,0.371153937206978,0.020526513018222,0.0256849331185841,0.0014410773902687,-1.07058752358273,0.394212701172509,0.419056454075658
RTg_L,Reticulotegmental Nucleus of Pons (L),0.0416259849599978,0.0355151955543188,0.0050745789470952,0.0118242952605398,0.0296642240995704,-1.06902482637759,0.0384741050235699,0.0447778648964256
RTN_L,Reticular Nucleus of Thalamus (L),0.257262059827773,0.230232826047135,0.0156501462675527,0.0191066287166283,0.0028201834052552,-1.03010189304459,0.247098163534608,0.267425956120939
PVG_L,PVG of Hypothalamus (L),0.0105956951998242,0.0090536321054784,0.0013846228669019,0.007612509515836,0.0237123467211507,-1.00824257688604,0.0098288362421787,0.0113625541574697
ac_L,Anterior Commisure (L),0.04017626624765,0.0362022167473837,0.0029847277938513,0.0116853789811289,0.0085775103775129,-0.869591868816014,0.0384684691936803,0.0418840633016197
ParB_L,Parabrachial Nucleus (L),0.0420309320486444,0.0389019258019625,0.0018338793392949,0.0106809311006484,0.0210584769789511,-0.842622515022296,0.040503595983249,0.0435582681140399
LV_L,Lateral Ventricle (L),0.749859107950723,0.661527939359577,0.0768141222398582,0.0431028490090067,0.0261040403504872,-0.507439557391838,0.705249149210482,0.794469066690965
Athal_L,Anterior Thalamic Nuclei (L),0.0800569649841633,0.0727216569562188,0.0053039534230099,0.0118242952605398,0.0150938090258436,-0.42501587672192,0.0766504192823369,0.0834635106859897
