Structure,Abbreviation
Cingulate Cortex Area 24a (L),A24a_L
Cingulate Cortex Area 24a prime (L),A24aPrime_L
Cingulate Cortex Area 24b (L),A24b_L
Cingulate Cortex Area 24b prime (L),A24bPrime_L
Cingulate Cortex Area 29a (L),A29a_L
Cingulate Cortex Area 29b (L),A29b_L
Cingulate Cortex Area 29c (L),A29c_L
Cingulate Cortex Area 30 (L),A30_L
Cingulate Cortex Area 32 (L),A32_L
Primary Auditory Cortex (L),Au1_L
Secondary Auditory Cortex Dorsal Part (L),AuD_L
Secondary Auditory Cortex Ventral Part (L),AuV_L
Dorsolateral Orbital Cortex (L),DLO_L
Frontal Cortex Area 3 (L),Fr3_L
Frontal Association Cortex (L),FrA_L
Insular Cortex (L),Ins_L
Lateral Orbital Cortex (L),LO_L
Lateral Parietal Association Cortex (L),LPtA_L
Primary Motor Cortex (L),M1_L
Secondary Motor Cortex (L),M2_L
Medial Orbital Cortex (L),MO_L
Medial Parietal Association Cortex (L),MPtA_L
Parietal Cortex Posterior Area Rostral Part (L),PtPR_L
Primary Somatosensory Cortex (L),S1_L
Primary Somatosensory Cortex Barrel Field (L),S1BF_L
Primary Somatosensory Cortex Dysgranular Zone (L),S1DZ_L
Primary Somatosensory CortexForelimb Region (L),S1FL_L
Primary Somatosensory Cortex Hindlimb Region (L),S1HL_L
Primary Somatosensory Cortex Jaw Region (L),S1J_L
Primary Somatosensory Cortex Shoulder Region (L),S1Sh_L
Primary Somatosensory Cortex Trunk Region (L),S1Tr_L
Primary Somatosensory Cortex Upper Lip Region (L),S1ULp_L
Secondary Somatosensory Cortex (L),S2_L
Temporal Association Cortex (L),TeA_L
Primary Visual Cortex (L),V1_L
Primary Visual Cortex Binocular Area (L),V1B_L
Primary Visual Cortex Monocular Area (L),V1M_L
Secondary Visual CortexLateral Area (L),V2L_L
Secondary Visual Cortex Mediolateral Area (L),V2ML_L
Secondary Visual Cortex Mediomedial Area (L),V2MM_L
