Abbreviation,Structure,Mean Volume (Sedentary),Mean Volume (Voluntary),SD (Sedentary),SD (Voluntary),P-value,Effect Size,Lower Confidence Interval,Higher Confidence Interval
M2_R,Secondary Motor Cortex (R),0.179997522222222,0.1960437,0.0059379838132942,0.0065145728599425,3.31583882343667e-05,2.86292338295264,0.191829477374592,0.200257922625408
A24b_R,Cingulate Cortex Area 24b (R),0.190826055555556,0.210904188888889,0.0077710075793154,0.0063262548698745,4.08314226996165e-06,2.7630397180421,0.206349335634161,0.215459042143616
V2ML_R,Secondary Visual Cortex Mediolateral Area (R),0.142338933333333,0.168396122222222,0.0094505744001356,0.0133012230831208,0.0005962839355639,2.52290851805804,0.159721128581677,0.177071115862767
V2MM_L,Secondary Visual Cortex Mediomedial Area (L),0.1557497,0.179344322222222,0.0079045064006236,0.0083633413060776,3.76465522055058e-05,2.36496699300998,0.173088927042324,0.18559971740212
Sub_PP_L,Subbrachial Nucleus and Peripeduncular Nucleus (L),0.247575944444444,0.284957155555556,0.0148268068649415,0.0097310813597604,2.84745700640521e-06,2.34551169707102,0.276675752051756,0.293238559059355
MPtA_L,Medial Parietal Association Cortex (L),0.140166233333333,0.165155177777778,0.0102910616838109,0.0094658858420353,1.67492979631367e-05,2.27573392084246,0.158909556187046,0.17140079936851
V2L_R,Secondary Visual CortexLateral Area (R),0.108760633333333,0.124816422222222,0.0036011782662067,0.006652972403328,0.0003496338225599,2.25722829547683,0.119721760297938,0.129911084146506
TeA_L,Temporal Association Cortex (L),0.144821077777778,0.169309655555556,0.0065960365094838,0.00542433692448,2.25187964830731e-06,2.25127955110083,0.163966544206971,0.174652766904141
A24aPrime_R,Cingulate Cortex Area 24a prime (R),0.253801755555556,0.279007844444444,0.0093606089585709,0.0116029065844631,0.0005010331502727,2.2509902785585,0.270748724747966,0.287266964140923
A30_L,Cingulate Cortex Area 30 (L),0.196726366666667,0.219337255555556,0.0042899956346131,0.0079097517367979,7.73359303807286e-06,2.23109864059352,0.213982442627242,0.224692068483869
V2MM_R,Secondary Visual Cortex Mediomedial Area (R),0.158753922222222,0.185338033333333,0.0073092790192976,0.0073109895222876,4.34222852019328e-06,2.20641176664708,0.179282562290898,0.191393504375769
A30_R,Cingulate Cortex Area 30 (R),0.197844588888889,0.219932855555556,0.0072423868626724,0.0057440863403397,2.33510803970827e-06,2.12765638979926,0.215102135817055,0.224763575294056
FrA_R,Frontal Association Cortex (R),0.153985077777778,0.166713877777778,0.0069008369731101,0.0065583295654796,0.0010709197702655,2.11800303391135,0.162233870990298,0.171193884565257
FrA_L,Frontal Association Cortex (L),0.154179211111111,0.165602677777778,0.008781954753562,0.008316024492024,0.0115914423011498,2.11255073249668,0.160322845070599,0.170882510484956
M2_L,Secondary Motor Cortex (L),0.179229455555556,0.190179222222222,0.0078530637569217,0.0081208429188074,0.0105231073948207,2.1107587166714,0.185184106217728,0.195174338226717
CEnt_L,Caudomedial Entorhinal Cortex (L),0.176166477777778,0.1872354,0.0042473701583385,0.0084239912218021,0.0056839582805952,2.09529247640817,0.182566884924537,0.191903915075463
Tg_L,Tegmental Nucleus (L),0.277196333333333,0.3450706,0.0260376667933208,0.0113845264680838,1.95973948680095e-06,2.07449796656429,0.330393287347359,0.359747912652641
MPtA_R,Medial Parietal Association Cortex (R),0.142974255555556,0.168264811111111,0.0118646970862209,0.005955821205645,2.63125173879386e-05,2.06930882765761,0.161734667198811,0.174794955023411
LO_L,Lateral Orbital Cortex (L),0.168581,0.1940015,0.0101329669996009,0.0106156739505789,0.0001065198855867,2.06754073457492,0.186698951141565,0.201304048858435
A24aPrime_L,Cingulate Cortex Area 24a prime (L),0.258433444444444,0.282731733333333,0.0117928667905763,0.0105580612763424,0.0006033926698217,2.05008763412832,0.274633463962116,0.29083000270455
A24bPrime_R,Cingulate Cortex Area 24b prime (R),0.1913704,0.213322422222222,0.0112193039886617,0.0097214816617347,0.0002958508066097,2.03827492973139,0.206457529965244,0.220187314479201
DLO_L,Dorsolateral Orbital Cortex (L),0.150668811111111,0.176564911111111,0.0095361849694262,0.010783296493935,0.0001164126739817,2.01229452267047,0.169072577294103,0.184057244928119
V2L_L,Secondary Visual CortexLateral Area (L),0.114028566666667,0.1343049,0.0060651521809019,0.0082975107443437,0.0001983188221137,2.00274097879158,0.128176332482591,0.140433467517409
LPtA_R,Lateral Parietal Association Cortex (R),0.0986808111111111,0.111738064444444,0.0074310657966025,0.0091076967431056,0.0115542199411818,1.98483981552852,0.105705756854087,0.117770372034802
