Abbreviation,Structure,P-value,Effect Size
VTA_R,Ventral Tegmental Area (R),1.56e-07,3.32908586220099
cp_L,Cerebral Peduncle (L),2.09e-07,3.24901844342757
mcp_R,Middle Cerebellar Peduncle (R),2.18e-05,2.9078632126352
Hyp_R,Hypothalamus (R),1.4e-05,2.86975852537315
Iped_L,Interpeduncular Nucleus (L),1.25e-06,2.86534363912312
vsc_R,Ventral Spinocerebellar Tract (R),4.11e-06,2.71428023047848
mcp_L,Middle Cerebellar Peduncle (L),1.65e-05,2.60007303314341
DTg_R,Dorsal Tegmentum (R),1.4e-05,2.59387644042889
SN_R,Substantia Nigra (R),7.44e-05,2.54309301638933
DTg_L,Dorsal Tegmentum (L),3.76e-05,2.33406465785998
Abbreviation,Structure,P-value,Effect Size
S1HL_L,Primary Somatosensory Cortex Hindlimb Region (L),0.00315,-2.64351271012204
sc_R,Spinocerebellar Tract (R),0.00159,-2.05171584737548
DIEnt_R,Dorsal Intermediate Entorhinal Cortex (R),0.000544,-2.04527054408817
MEnt_R,Medial Entorhinal Cortex (R),0.000926,-1.94523282444189
VIEnt_R,Ventral Intermediate Entorhinal Cortex (R),0.00168,-1.94278920619168
Au1_L,Primary Auditory Cortex (L),0.00526,-1.78580692319163
V1B_L,Primary Visual Cortex Binocular Area (L),0.00275,-1.78275670564328
DLEnt_L,Dorsolateral Entorhinal Cortex (L),0.00224,-1.68632960632229
V2ML_L,Secondary Visual Cortex Mediolateral Area (L),0.0174,-1.62160924279678
Ins_R,Insular Cortex (R),0.00212,-1.61600275485718
