"","FDR corrected Pvalue","ST Comparison Group Pvalue","SW Comparison Group Pvalue","TW Comparison Group Pvalue","Effect Size Eta^2","CI lower bound","CI upper bound","Mean sedentary group","Mean voluntary group","Mean voluntary + enforced group","SD sedentary group","SD voluntary group","SD voluntary + enforced group","F-value"
"Au1_L",0.0186627906976744,0.0416,0.00526,0.649,0.381,0.0967070147623331,1,0.126437148299429,0.136321040740271,0.139822459274735,0.00802530970056017,0.00916496224782003,0.0059005405494218,6.768
"AuV_L",0.00015688875,3.55e-05,4.15e-05,0.998,0.658,0.426144277524491,1,0.127492930963912,0.15074822547407,0.150476024853434,0.0114235145872594,0.00553209288833162,0.00702564001606353,21.119
"DLO_L",0.0002568,2.96e-05,0.000196,0.725,0.637,0.396333930239693,1,0.0951425513700944,0.06505474632615,0.0692496127469663,0.0175993156812979,0.00379315291537439,0.0021720146840462,19.304
"FrA_L",0.000500468181818182,9.16e-05,0.000262,0.905,0.607,0.354449890920803,1,0.827995564720631,0.683896219374136,0.696013893542866,0.0791100111455316,0.0406809613146522,0.0372463979210765,17.009
"MPtA_L",0.0239042553191489,0.00537,0.172,0.268,0.36,0.0793684986333199,1,0.0284488201149067,0.0354853844702825,0.0321915126304987,0.00410398330496473,0.00492957782043543,0.0031457365541071,6.196
"PtPR_L",0.0314705882352941,0.0082,0.116,0.46,0.342,0.0649030504169035,1,0.00546220552138613,0.00678295281555489,0.00628883989065553,0.000670879911321111,0.00105376810420862,0.000684827972414724,5.717
"S1DZ_L",0.0154698795180723,0.00381,0.0417,0.567,0.395,0.109165050146768,1,0.108781341157544,0.123345919717361,0.119131838853712,0.00968552041939983,0.00845174902647399,0.00570338352169548,7.181
"S1FL_L",0.0408050847457627,0.0152,0.0851,0.714,0.317,0.0464992419190596,1,0.307978049841026,0.340606379534245,0.331955251167061,0.0176066034856886,0.0295297080259121,0.0169637019127218,5.1
"S1HL_L",0.000920545161290323,8.84e-05,0.00315,0.337,0.572,0.306579472733178,1,0.227347373219696,0.279565240535026,0.264717642997932,0.0147074207176858,0.0307498107550594,0.011767169421032,14.684
"S1Sh_L",0.0339519230769231,0.0192,0.0302,0.978,0.336,0.0600594042681405,1,0.00577244641230681,0.00719777203771736,0.00709810418583912,0.000972905200860117,0.00107448507931514,0.000926094226711947,5.555
"S1Tr_L",0.0239042553191489,0.00623,0.0677,0.552,0.364,0.0824240487486029,1,0.0451527377400533,0.05454965405004,0.0515941726504962,0.00425330741550531,0.00791282105809188,0.00394777157608386,6.296
